Technique,Variable,Training_Test,Precision,Recall,F1,Accuracy,Time_t,Time_d
Percentile,90/10,70/30,0.9868042226487524,0.9324416232146906,0.9588530131716985,0.9919976423648894,00:00:00,00:00:01.407556
HBOS,3,70/30,0.9004285354171918,0.8097936975742462,0.8527094772021963,0.97202575262967,00:00:00.054688,00:00:02.765974
LOF,20/0.2,70/30,0.5068746152267597,0.5599637270460213,0.5320982335200345,0.9015233949945594,00:00:00,00:00:00.228334
Autoencoder,1,70/30,0.9990937924784775,0.9997732940376332,0.9994334277620396,0.9998866521581429,00:00:58.221973,00:00:03.905679
Percentile,90/10,70/30,0.9943033467837645,0.9496712763545682,0.9714749536178107,0.9944232861806311,00:00:00,00:00:01.949057
HBOS,3,70/30,0.8959006211180124,0.8175017002947178,0.8549075391180655,0.9722524483133841,00:00:00.054688,00:00:03.565464
LOF,20/0.2,70/30,0.5238497256226256,0.562684198594423,0.5425729587933108,0.9051278563656148,00:00:00,00:00:00.288880
Autoencoder,1,70/30,0.999546485260771,0.9993198821128996,0.9994331708423081,0.9998866521581429,00:00:58.221973,00:00:04.574342
Percentile,90/10,70/30,0.9945907808090311,0.9587395148492406,0.9763361422140137,0.9953527384838593,00:00:00,00:00:01.544931
HBOS,3,70/30,0.900200100050025,0.8159147585581501,0.8559876322987277,0.9725471527022126,00:00:00.054688,00:00:02.993392
LOF,20/0.2,70/30,0.5201032036121265,0.548401722965314,0.5338777311851689,0.9042437431991295,00:00:00,00:00:00.247649
Autoencoder,1,70/30,0.9993200362647325,0.9995465880752664,0.9994332993312932,0.9998866521581429,00:00:58.221973,00:00:05.062972
Percentile,90/10,70/30,0.9921521997621878,0.9458172749943323,0.9684308263695449,0.9938338774029742,00:00:00,00:00:01.425427
HBOS,3,70/30,0.8999744832865527,0.7995919292677397,0.8468187274909964,0.9710736307580704,00:00:00.054688,00:00:02.538438
LOF,20/0.2,70/30,0.5111157718120806,0.5524824302879165,0.5309946617278571,0.9024075081610446,00:00:00,00:00:00.228421
Autoencoder,1,70/30,0.9988677536231884,1.0,0.999433556134587,0.9998866521581429,00:00:58.221973,00:00:03.928281
Percentile,90/10,70/30,0.9968995945623659,0.9476309226932669,0.9716410971641097,0.994468625317374,00:00:00,00:00:01.931167
HBOS,3,70/30,0.9023408004027184,0.8127408750850147,0.8552003816793893,0.9724791439970983,00:00:00.054688,00:00:03.583818
LOF,20/0.2,70/30,0.5162037037037037,0.5561097256857855,0.5354141656662667,0.9034956474428727,00:00:00,00:00:00.277846
Autoencoder,1,70/30,0.9988674971687429,0.9997732940376332,0.9993201903467029,0.9998639825897715,00:00:58.221973,00:00:04.684594
Percentile,90/10,70/30,0.9961913830040466,0.9487644525051009,0.9718996748722712,0.9945139644541168,00:00:00,00:00:01.469615
HBOS,3,70/30,0.8957662787818768,0.8202221718431195,0.8563313609467457,0.9724791439970983,00:00:00.054688,00:00:02.728004
LOF,20/0.2,70/30,0.5144987572493787,0.5631376105191567,0.5377205325251652,0.9031782734856728,00:00:00,00:00:00.220634
Autoencoder,1,70/30,0.998867240598097,0.9995465880752664,0.9992067988668555,0.9998413130214001,00:00:58.221973,00:00:03.955139
Percentile,90/10,70/30,0.9952312827849309,0.946270686919066,0.97013364323068,0.9941739209285455,00:00:00,00:00:01.301103
HBOS,3,70/30,0.8983523447401774,0.8034459306279755,0.8482527525131642,0.9712549873050417,00:00:00.054688,00:00:02.586849
LOF,20/0.2,70/30,0.5212458745874587,0.5728859669009295,0.5458472837239443,0.9046744649981865,00:00:00,00:00:00.211980
Autoencoder,1,70/30,0.9988677536231884,1.0,0.999433556134587,0.9998866521581429,00:00:58.221973,00:00:03.922618
Percentile,90/10,70/30,0.9957203994293866,0.9494445703922013,0.9720320297087153,0.9945366340224883,00:00:00,00:00:01.443351
HBOS,3,70/30,0.899473552268739,0.8134209929721151,0.8542857142857143,0.9722524483133841,00:00:00.054688,00:00:02.728907
LOF,20/0.2,70/30,0.5122399020807834,0.5692586715030605,0.5392462149683239,0.9027248821182444,00:00:00,00:00:00.227197
Autoencoder,1,70/30,0.9988677536231884,1.0,0.999433556134587,0.9998866521581429,00:00:58.221973,00:00:03.596447
Percentile,90/10,70/30,0.9945238095238095,0.9469508048061664,0.970154453605853,0.9941739209285455,00:00:00,00:00:01.391380
HBOS,3,70/30,0.89975,0.8159147585581501,0.8557840922601355,0.9725018135654697,00:00:00.054688,00:00:02.603540
LOF,20/0.2,70/30,0.5012684989429176,0.5375198367717071,0.5187616234547642,0.9002765687341313,00:00:00,00:00:00.214915
Autoencoder,1,70/30,0.9988674971687429,0.9997732940376332,0.9993201903467029,0.9998639825897715,00:00:58.221973,00:00:03.877886
Percentile,90/10,70/30,0.996413199426112,0.9446837451824983,0.9698591877109275,0.9941285817918026,00:00:00,00:00:01.505957
HBOS,3,70/30,0.8991383679675621,0.8043527544774428,0.8491085317697739,0.9714136742836417,00:00:00.054688,00:00:02.966596
LOF,20/0.2,70/30,0.5046286772269081,0.5561097256857855,0.5291199309749784,0.9010246644903881,00:00:00,00:00:00.244921
Autoencoder,1,70/30,0.9988677536231884,1.0,0.999433556134587,0.9998866521581429,00:00:58.221973,00:00:04.763964
Percentile,90/10,70/30,0.9954653937947494,0.9455905690319656,0.9698872224159982,0.9941285817918026,00:00:00,00:00:01.803729
HBOS,3,70/30,0.9055783009211873,0.8023124008161414,0.8508234162759948,0.97186706565107,00:00:00.054688,00:00:03.282191
