Technique,Variable,Precision,Recall,F1,Accuracy,Time
Autoencoder,20,0.13007931068246353,0.8510570147341447,0.22566672328860202,0.41563311220074994,00:00:37.266314
HBOS,2.5,0.8957379358929201,0.8145419602818706,0.8532125482301627,0.9719748895009929,00:00:02.970153
Percentile,85/10,0.8714365567356065,0.9987187700192185,0.9307462686567164,0.985138684261098,00:00:02.056364
Autoencoder,20,0.19746031746031745,0.19923126201153107,0.19834183673469388,0.8388616479184694,00:01:08.689263
HBOS,2.5,0.89510735656459,0.8145419602818706,0.8529263793392587,0.9719108321055666,00:00:03.087237
Percentile,85/10,0.8714365567356065,0.9987187700192185,0.9307462686567164,0.985138684261098,00:00:01.877967
Autoencoder,20,0.0,0.0,0.0,0.8998814216581739,00:03:21.820617
HBOS,2.5,0.89510735656459,0.8145419602818706,0.8529263793392587,0.9719108321055666,00:00:02.961389
Percentile,85/10,0.8714365567356065,0.9987187700192185,0.9307462686567164,0.985138684261098,00:00:02.046560
Autoencoder,20,0.2302788844621514,0.092568866111467,0.13205391820881882,0.8782488863250328,00:04:28.751516
HBOS,2.5,0.8932209343168247,0.8145419602818706,0.8520690232869828,0.9717186599192876,00:00:03.829215
Percentile,85/10,0.8714365567356065,0.9987187700192185,0.9307462686567164,0.985138684261098,00:00:02.481314
Autoencoder,20,0.25,0.004804612427930814,0.009428032683846638,0.8989840720443547,00:03:16.901912
HBOS,2.5,0.8932209343168247,0.8145419602818706,0.8520690232869828,0.9717186599192876,00:00:03.193925
Percentile,85/10,0.8714365567356065,0.9987187700192185,0.9307462686567164,0.985138684261098,00:00:01.902950
