Technique,Variable,Precision,Recall,F1,Accuracy,Time
Autoencoder,52,0.13280736357659434,0.32351057014734147,0.1883098722848886,0.7206698533893683,00:01:10.584675
Autoencoder,1,1.0,0.9698910954516335,0.9847154471544716,0.9969893024149639,00:00:21.454976
Autoencoder,1,1.0,0.9698910954516335,0.9847154471544716,0.9969893024149639,00:00:28.796379
Autoencoder,100,0.14631245043616178,0.11819346572709802,0.1307583274273565,0.8423673810365324,00:01:34.921997
Autoencoder,200,0.12788018433179724,0.07124518613607189,0.09150865622423743,0.8579118718370241,00:06:46.256340
Autoencoder,52,0.14991708126036485,0.2895579756566304,0.19755244755244758,0.764396394084245,00:00:56.078995
Autoencoder,4,0.37346989757681737,0.9577194106342088,0.5373831775700935,0.8351004196162594,00:00:18.014330
Autoencoder,100,0.0,0.0,0.0,0.8996883333868843,00:04:32.340422
Autoencoder,100,0.141776096149566,0.2040358744394619,0.16730137885751803,0.7962600006426116,00:01:29.907938
Autoencoder,1,1.0,0.9698910954516335,0.9847154471544716,0.9969893024149639,00:00:19.646530
Autoencoder,100,0.14343029087261785,0.13741191543882128,0.14035661704564045,0.8311538090801015,00:02:36.399112
Autoencoder,200,0.158953722334004,0.025353016688061617,0.04373097149183504,0.8886310156980305,00:03:10.175573
Autoencoder,4,0.292998678996037,0.7104420243433697,0.4148896371118594,0.7996092123386399,00:00:18.388948
Autoencoder,20,0.17384687426832124,0.47565663036515055,0.25462962962962965,0.7213729449091434,00:00:46.124030
Autoencoder,1,1.0,0.9698910954516335,0.9847154471544716,0.9969893024149639,00:00:17.404996
Autoencoder,20,0.13866947516236616,0.5060858424087123,0.21769082391843483,0.6360606351953337,00:01:11.734479
Autoencoder,52,0.16728427739544732,0.10121716848174248,0.12612253043304728,0.8595168586185878,00:01:34.576641
Autoencoder,4,0.27301195672803186,0.92152466367713,0.421229868228404,0.7467567827284667,00:00:18.970356
Autoencoder,100,0.16064757160647572,0.041319666880205,0.06573248407643312,0.8821771680107958,00:01:57.142321
Autoencoder,20,0.17439070589720923,0.4423446508648302,0.2501585001358572,0.7346729481139634,00:01:04.326245
Autoencoder,200,0.11628085236854208,0.4868421052631579,0.18772429154807574,0.5768300938013732,00:03:10.446692
Autoencoder,1,1.0,0.9698910954516335,0.9847154471544716,0.9969893024149639,00:00:19.488059
Autoencoder,200,0.1277330264672037,0.035622593068035946,0.05570890840652447,0.8787028978499822,00:04:21.873989
Autoencoder,4,0.30870746539008925,0.7642536835361947,0.4397751359321721,0.805278836605913,00:00:18.919776
Autoencoder,20,0.1487820934825543,0.5791159513132608,0.2367421762472175,0.626382078646284,00:00:34.267877
Autoencoder,52,0.15677966101694915,0.24887892376681614,0.19237435008665513,0.7907028969234224,00:01:26.170150
Autoencoder,4,0.2845849802371542,0.9455477258167841,0.4374953686550575,0.7568467920176816,00:00:25.477215
Autoencoder,200,0.11484548357417329,0.6810012836970475,0.196545176677627,0.4407697514747123,00:02:47.088651
Autoencoder,52,0.14858096828046743,0.028507367072389492,0.04783660306369256,0.8863366590741394,00:01:55.635473
Autoencoder,20,0.15715426062662144,0.5044843049327354,0.23965307364576993,0.6797102842675383,00:00:55.459079
