Technique,Variable,Precision,Recall,F1,Accuracy,Time
Autoencoder,52,0.14012490241998438,0.4605516356638871,0.21487355977854258,0.6633409258605756,00:01:01.709776
HBOS,4.5,0.8982691628399859,0.8145419602818706,0.8543591466487486,0.9722311190826981,00:00:02.824131
Percentile,93/10,1.0,0.6659192825112108,0.7994616419919247,0.9665940682851836,00:00:01.271340
Autoencoder,52,0.1724137931034483,0.11706221937139191,0.13944603629417382,0.855474639889641,00:02:13.364138
HBOS,4.5,0.8982691628399859,0.8145419602818706,0.8543591466487486,0.9722311190826981,00:00:02.905395
Percentile,93/10,1.0,0.6659192825112108,0.7994616419919247,0.9665940682851836,00:00:01.378287
Autoencoder,52,0.0,0.0,0.0,0.8995861537967983,00:03:18.618147
HBOS,4.5,0.8982691628399859,0.8145419602818706,0.8543591466487486,0.9722311190826981,00:00:02.926875
Percentile,93/10,1.0,0.6659192825112108,0.7994616419919247,0.9665940682851836,00:00:01.325649
Autoencoder,52,0.1744186046511628,0.009621552277100705,0.0182370820668693,0.8963780436944596,00:04:00.773227
HBOS,4.5,0.8976350158842217,0.8145419602818706,0.8540722082283795,0.9721670616872718,00:00:02.688841
Percentile,93/10,1.0,0.6659192825112108,0.7994616419919247,0.9665940682851836,00:00:01.312383
Autoencoder,52,0.0,0.0,0.0,0.899971127009079,00:05:15.119571
HBOS,4.5,0.8976350158842217,0.8145419602818706,0.8540722082283795,0.9721670616872718,00:00:02.687234
Percentile,93/10,1.0,0.6659192825112108,0.7994616419919247,0.9665940682851836,00:00:01.343656
