Technique,Variable,Training_Test,Precision,Recall,F1,Accuracy,Time_t,Time_d
Percentile,90/10,60/40,0.9966204197794379,0.9590893529613146,0.9774947662247034,0.9955837042108867,00:00:00,00:00:01.714008
HBOS,3,60/40,0.8946078431372549,0.812221841834988,0.8514265207249239,0.9716535433070866,00:00:00.032996,00:00:03.045353
LOF,20/0.2,60/40,0.4912616056799563,0.6158849709003766,0.5465593194592131,0.8978089695309825,00:00:00,00:00:00.255832
Autoencoder,1,60/40,1.0,0.9630263608353303,0.9811649808161842,0.9963026360835331,00:00:21.077593,00:00:03.698382
Percentile,90/10,60/40,0.9895589558955895,0.9409448818897638,0.9646398174958322,0.9931016775077028,00:00:00,00:00:01.740483
HBOS,3,60/40,0.896348421453024,0.8067442656624444,0.8491891891891893,0.971345429647381,00:00:00.032996,00:00:03.306615
LOF,20/0.2,60/40,0.474400871459695,0.5963711057856899,0.5284392537539816,0.8935638479972612,00:00:00,00:00:00.277045
Autoencoder,1,60/40,1.0,0.9596028757274906,0.9793850454227813,0.995960287572749,00:00:21.077593,00:00:03.740579
Percentile,90/10,60/40,0.9927137017949174,0.9561793906196508,0.9741041067224693,0.9949161246148579,00:00:00,00:00:02.301203
HBOS,3,60/40,0.892272983643542,0.8123930160903801,0.8504614281874383,0.971431016775077,00:00:00.032996,00:00:04.218103
LOF,20/0.2,60/40,0.4831898870360409,0.6150290996234167,0.541195963247477,0.8957206436152003,00:00:00,00:00:00.331537
Autoencoder,1,60/40,1.0,0.9597740499828826,0.9794741898855795,0.9959774049982882,00:00:21.077593,00:00:04.227933
Percentile,90/10,60/40,0.9964349376114082,0.9568640876412188,0.9762486901851205,0.9953440602533379,00:00:00,00:00:01.943130
HBOS,3,60/40,0.9082480200888545,0.8048613488531325,0.8534349759506308,0.9723553577541938,00:00:00.032996,00:00:03.705734
LOF,20/0.2,60/40,0.48761567773543824,0.6133173570694967,0.5432903714935557,0.8968846285518658,00:00:00,00:00:00.303428
Autoencoder,1,60/40,1.0,0.9606299212598425,0.9799196787148594,0.9960629921259843,00:00:21.077593,00:00:04.546113
Percentile,90/10,60/40,0.9962352097525995,0.9512153372132831,0.9732049036777582,0.9947620677850051,00:00:00,00:00:01.896854
HBOS,3,60/40,0.896714501510574,0.812906538856556,0.8527563296821691,0.9719274221157138,00:00:00.032996,00:00:03.645880
LOF,20/0.2,60/40,0.47372719847536077,0.5956864087641218,0.5277525022747952,0.8933926737418693,00:00:00,00:00:00.296187
Autoencoder,1,60/40,1.0,0.9613146182814105,0.980275789841159,0.996131461828141,00:00:21.077593,00:00:04.024406
Percentile,90/10,60/40,0.9960238568588469,0.9433413214652516,0.9689670329670329,0.9939575487846628,00:00:00,00:00:01.895967
HBOS,3,60/40,0.8933007150922092,0.812564190345772,0.8510218716385801,0.9715508387538514,00:00:00.032996,00:00:03.499775
LOF,20/0.2,60/40,0.4871316175490065,0.625299554946936,0.5476351098118581,0.8966963368709346,00:00:00,00:00:00.281788
Autoencoder,1,60/40,1.0,0.9616569667921945,0.980453752181501,0.9961656966792194,00:00:21.077593,00:00:04.002539
