index,DQ_Index_df,DQ_Index_nova
1,0.5647986432194714,0.4713080538980055
4,0.5871573542299892,0.47870439859684955
5,0.557597669131201,0.4804905589406588
9,0.7308082251612117,0.5711888664956435
10,0.8134049137778445,0.7995163592699683
11,0.6883675460091931,0.7153732248731957
12,0.8054994863704426,0.8117076946393276
13,0.5787440678929101,0.7366578361079665
16,0.8240955142557238,0.8253503971420042
18,0.7263340979413764,0.7527334740568243
19,0.7294356541321598,0.7689607276118136
26,0.6064105272051779,0.6553398708643698
27,0.6549383315857513,0.6430526738946365
28,0.7856677911713651,0.8210055920582306
29,0.7928281491016591,0.7907664274980446
30,0.6018916711152222,0.5004030405188626
31,0.7680136603764046,0.804194312631004
34,0.800979787175073,0.7970164165603577
35,0.784725772413196,0.7772071684122317
36,0.7000905900580652,0.7832340401313012
39,0.7673001403591257,0.7913576489406584
40,0.7349867261746915,0.7500825918579568
42,0.668900083456983,0.6788095506219735
46,0.7691596120928947,0.7792467499205235
47,0.7164756108473482,0.7753601255895386
51,0.6933521601422946,0.7036739851874763
54,0.7852751341423239,0.7911958911054906
55,0.6873220645921851,0.7213436745729809
58,0.7702639147830608,0.7606722980677268
59,0.8103028097958151,0.808517990379304
61,0.812811208389844,0.8011964789322843
62,0.79985310549175,0.8020265719915699
63,0.7443623051681227,0.7257034006453322
65,0.821503567043821,0.8083387990905809
67,0.8339701450295682,0.818256828199369
69,0.679295258489512,0.6841560102233919
70,0.6198140157555652,0.6688833917128822
71,0.7285434957766261,0.7563255705236069
72,0.7147813922971806,0.6642038454244558
73,0.7112456505131013,0.7418444251098137
74,0.7758361351734553,0.7289520811867608
77,0.7891005586423272,0.8061362441984374
78,0.8366242408337943,0.8304836710032247
79,0.8002512038175111,0.7914309462138909
82,0.6045697665840825,0.7334704833752974
83,0.7634964693431174,0.7523228220965519
84,0.6629862550309551,0.6743950031499624
85,0.4434610269214579,0.45787785277636706
86,0.7080600313554433,0.7058485253141904
87,0.4517335379454423,0.5235161715649879
91,0.7284596929648196,0.7805305537325066
92,0.6990005102265404,0.7381923853102568
94,0.7623071752175351,0.7737307703409249
95,0.8189969542686475,0.8258992937740628
96,0.7575435871000071,0.7286997105439839
97,0.7195448572123143,0.7582104815792988
99,0.7039292879690879,0.5969072246374598
104,0.761475536533903,0.7860190228161793
105,0.763660953804837,0.684717291213123
107,0.8035229642070378,0.7383435469052826
110,0.702294924161746,0.7455226753895307
111,0.7620871907487468,0.7780178839992791
112,0.6675788472526704,0.6460084194999217
113,0.7888780333611003,0.8042474313075425
115,0.7955454432047722,0.7898823856791721
116,0.7701895556944856,0.7812256732135783
117,0.41882619544594046,0.3953611031687355
118,0.6887829809938351,0.6518951364638572
119,0.6884765875765324,0.6518945801003242
120,0.7962548296274482,0.7998043124789183
122,0.7892902395887404,0.7540812323180941
123,0.7605276473818505,0.7712444751258016
124,0.8099728295075422,0.8027261189017881
125,0.7508144403226998,0.8055313618275333
129,0.5323971291443954,0.4355009771072034
134,0.789589995208088,0.8141125689392573
140,0.6806678727648743,0.6240410247069965
141,0.6410887407508116,0.6815083205414524
142,0.6867541616411798,0.7582811734867155
143,0.7662258251717669,0.784009631119174
149,0.7495319761666237,0.7179467751268667
150,0.7298108600222811,0.7600079369815226
151,0.7198286471622739,0.6925512603523517
153,0.6881546797452512,0.5612133104039606
154,0.6640133214216161,0.7093687773726886
156,0.7654022373595579,0.7653266310092116
157,0.7997946822500919,0.7791814401088027
160,0.696400722757669,0.6642652377540983
165,0.7732647785562339,0.7764541462013546
167,0.8208414070228582,0.7950164125774819
168,0.8135303512493852,0.7837500851413086
169,0.6722394268114089,0.5767207985393394
170,0.7942752433536624,0.7330507165402043
171,0.5602112348830562,0.4221529741954022
173,0.6576907071203836,0.6411245529115598
174,0.33926993564744234,0.42592901914129655
175,0.7980505382635862,0.8061705613139086
176,0.6917096868350938,0.7277733506116377
180,0.8411226693880836,0.8328001034092765
181,0.7148468201792967,0.7255158637192032
182,0.7498134201598323,0.7819546047004973
184,0.4962685427775632,0.4221837333142936
187,0.815597450920845,0.809946466122151
189,0.7917920605454591,0.728535223919013
191,0.8181000424445185,0.8135524791688913
193,0.6713843841384564,0.5912608801983785
194,0.7832038018584577,0.7919197720888609
195,0.7123998530478596,0.664251890205335
196,0.8258611363819115,0.8123521844730299
197,0.8505755457273318,0.8419756542808696
198,0.5540407267435975,0.4058546471001795
199,0.81456953638168,0.8048001659178992
201,0.765152279144526,0.7087152054541788
202,0.725799123426788,0.7415459793733171
204,0.7621285165982898,0.76730609363483
205,0.8375214138795118,0.8290265869943115
206,0.8238816413177593,0.8168907785242433
207,0.7888481994931165,0.7987410119905116
208,0.7561634530984787,0.754596611262489
209,0.7368127322625794,0.7324521338444588
210,0.7573695211510478,0.7332806074327887
211,0.779305468196206,0.7730602740020724
213,0.7949191167103142,0.7815628303668052
214,0.7398904454085171,0.7157006958587071
215,0.6164811743404797,0.5351726265198824
216,0.7096408004029429,0.7017036056717909
217,0.6923191511706135,0.697931837279177
220,0.7242296983983739,0.7276984391605322
221,0.7919597449660973,0.7965816399779646
223,0.7445767987377168,0.7466337460656363
225,0.8354193977560369,0.8300883368003049
226,0.7815961245687284,0.781272152922073
228,0.826204760834103,0.8055501264774005
229,0.8090127098716013,0.8145168242037024
230,0.6990419257247515,0.6488729603570593
231,0.8058528442640986,0.792553756166738
233,0.7281501423353107,0.7033484370644798
237,0.6653495518065529,0.601164747570416
238,0.6957427547527423,0.6901412471739383
239,0.6799567207225095,0.6413245426742331
241,0.7462783396424643,0.6450763486877312
242,0.6346922883741689,0.6191876216553996
244,0.5279370520211263,0.5505478381056165
246,0.6901957955123318,0.7088546832362295
247,0.742103202896305,0.76413234636288
251,0.741695156084959,0.7048676677438772
259,0.4249155688507392,0.352955379047714
261,0.41644265158308613,0.5778187392633746
262,0.7283641999061876,0.7704326212559289
265,0.770864924762311,0.7826539821430776
266,0.8475822185180776,0.8495153676737918
267,0.6859985049882323,0.7441997142991538
